?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/UBERON_0003057>		
<http://purl.obolibrary.org/obo/MONDO_0045015>	"A disease that has its basis in the disruption of carbohydrate transport."	"SCTID:54905006 UMLS:C0268173"
<http://purl.obolibrary.org/obo/NCBITaxon_6362>		
<http://purl.obolibrary.org/obo/MONDO_0003072>	"A malignant neoplasm involving the retina."	"SCTID:363465007 ICD9:190.5 DOID:4645 NCIT:C3216 EFO:0005716 MESH:D019572"
<http://purl.obolibrary.org/obo/MONDO_0001416>	"A primary or metastatic malignant neoplasm involving the female reproductive system. Representative examples include endometrial carcinoma, cervical carcinoma, ovarian carcinoma, uterine corpus leiomyosarcoma, adenosarcoma, malignant mixed mesodermal (mullerian) tumor, and gestational choriocarcinoma."	"NCIT:C4913 ICD10CM:C51-C58 SCTID:126907002 DOID:120 ICD9:184"
<http://purl.obolibrary.org/obo/MONDO_0021085>	"A benign or malignant neoplasm involving the stomach."	"NCIT:C3387 EFO:0003897 MESH:D013274 SCTID:126824007 UMLS:C0038356"
<http://purl.obolibrary.org/obo/UBERON_0004121>		
<http://purl.obolibrary.org/obo/MONDO_0005324>	"Allergic rhinitis caused by outdoor allergens."	"NCIT:C92188 MESH:D006255 SCTID:367498001 EFO:0003956"
<https://github.com/bmir-radx/gcbo/nih_lupus>		
<http://purl.obolibrary.org/obo/HP_0011446>	"Cognitive, psychiatric, or memory anomaly."	
<http://purl.obolibrary.org/obo/MONDO_0020584>	"Any form of anemia that results from the absence of, or the defective action of, any enzyme."	"NCIT:C35472 UMLS:C0494226"
<http://purl.obolibrary.org/obo/MONDO_0005613>	"An adenocarcinoma of the cervix or the vagina arising from mesonephric remnants."	"EFO:0006719 ICDO:9110/3 NCIT:C4072"
<http://purl.obolibrary.org/obo/UBERON_0000071>		
<http://purl.obolibrary.org/obo/GO_0009250>		
<http://purl.obolibrary.org/obo/UBERON_0003056>		
<http://purl.obolibrary.org/obo/NCIT_C171256>	"A manufactured object designed for non-medical use."	
<http://purl.obolibrary.org/obo/CL_0000255>		
<http://purl.obolibrary.org/obo/SYMP_0000551>		"UMLS_ICD9CM_2005_AUI:A0243765 UMLS_CUI:C0495689 ICD9CM_2005:781.1"
<https://github.com/bmir-radx/gcbo/nih_cancer_active_treatment>		
<https://github.com/bmir-radx/gcbo/nih_cancer>		
<http://purl.obolibrary.org/obo/CL_0008000>		
<http://purl.obolibrary.org/obo/PATO_0000411>		
<http://purl.obolibrary.org/obo/NCBITaxon_9347>		
<http://purl.obolibrary.org/obo/GO_0006091>		
<http://purl.obolibrary.org/obo/UBERON_0004122>		
<http://purl.obolibrary.org/obo/NCIT_C122393>	"The number of education years that a subject has competed."	
<http://purl.obolibrary.org/obo/UBERON_0002294>		
<http://purl.obolibrary.org/obo/GO_0009914>		
<http://purl.obolibrary.org/obo/UBERON_0003059>		
<http://purl.obolibrary.org/obo/MONDO_0020068>		"ICD9:323.6 MedDRA:10057235 UMLS:C0393459 SCTID:192727001 Orphanet:98253 DOID:10993"
<http://purl.obolibrary.org/obo/CL_0000125>		
<http://purl.obolibrary.org/obo/NCBITaxon_55885>		
<http://purl.obolibrary.org/obo/PATO_0015008>		
<http://purl.obolibrary.org/obo/IAO_0000030>		
<http://purl.obolibrary.org/obo/CHEBI_36078>		
<http://purl.obolibrary.org/obo/GO_0044058>		
<http://purl.obolibrary.org/obo/GO_0000785>		
<http://purl.obolibrary.org/obo/NCBITaxon_2732409>		
<http://purl.obolibrary.org/obo/UBERON_0012476>		
<http://purl.obolibrary.org/obo/UBERON_0002031>		
<http://purl.obolibrary.org/obo/MONDO_0005496>	"A carcinoma that arises from epithelial cells of the bile duct"	"UMLS:C0740277 EFO:0005540 DOID:4897 NCIT:C27814"
<http://purl.obolibrary.org/obo/MONDO_0006054>	"A benign or malignant, primary or metastatic neoplasm affecting the male and female reproductive system."	"NCIT:C3674 EFO:1000051 UMLS:C0178830"
<http://purl.obolibrary.org/obo/MONDO_0020947>	"Mild to severe infections of the eye and its adjacent structures (adnexa) by adult or larval protozoan or metazoan parasites."	"SCTID:312418006 ICD9:136.9 UMLS:C0015406 MESH:D015822"
<http://purl.obolibrary.org/obo/GO_0097254>		
<http://purl.obolibrary.org/obo/MONDO_0020108>	"Autoimmune hemolytic anemia (AIHA) is an autoimmune disorder in which various types of auto-antibodies are directed against red blood cells causing their survival to be shortened and resulting in hemolytic anemia."	"UMLS:C0002880 ICD9:283.0 NCIT:C34378 NORD:774 OMIM:205700 DOID:718 GARD:5870 Orphanet:98375 SCTID:413603009 EFO:1001264 MedDRA:10002046 MESH:D000744 CSP:0427-1178"
<http://purl.obolibrary.org/obo/GO_0046323>		
<http://purl.obolibrary.org/obo/CHEBI_15841>	"A peptide containing ten or more amino acid residues."	
<http://purl.obolibrary.org/obo/MONDO_0005265>	"A spectrum of small and large bowel inflammatory diseases of unknown etiology. It includes Crohn's disease, ulcerative colitis, and colitis of indeterminate type."	"OMIMPS:266600 SCTID:24526004 UMLS:C0021390 ICD9:558.9 EFO:0003767 DOID:0050589 MESH:D015212 NCIT:C3138"
<http://purl.obolibrary.org/obo/NCBITaxon_89593>		
<http://purl.obolibrary.org/obo/PATO_0001873>		
<http://purl.obolibrary.org/obo/PATO_0001309>		
<http://purl.obolibrary.org/obo/MONDO_0024882>	"A neoplasm that arises from a pre-existing lower grade lesion, or as a result of a primary lesion that has spread to secondary sites, or due to a complication of a cancer treatment."	"NCIT:C36255"
<http://purl.obolibrary.org/obo/UBERON_0003849>		
<http://purl.obolibrary.org/obo/UBERON_0004914>		
<http://purl.obolibrary.org/obo/MONDO_0002764>	"A well differentiated, moderately differentiated, or poorly differentiated squamous cell carcinoma that arises from the male or female urethra."	"ONCOTREE:USCC UMLS:C1336890 DOID:3750 NCIT:C6165"
<http://purl.obolibrary.org/obo/MONDO_0021224>	"A neoplasm (disease) that involves the iris."	"NCIT:C3142 MESH:D015811 UMLS:C0022079"
<http://purl.obolibrary.org/obo/GO_0051276>		
<http://purl.obolibrary.org/obo/UBERON_0000995>		
