?cls	?xref
<http://purl.obolibrary.org/obo/GO_0003824>	"Wikipedia:Enzyme"
<http://purl.obolibrary.org/obo/PATO_0001018>	"Wikipedia:Physical_property"
<http://purl.obolibrary.org/obo/GO_0008150>	"Wikipedia:Biological_process"
<http://purl.obolibrary.org/obo/GO_0016772>	"EC:2.7.-.-"
<http://purl.obolibrary.org/obo/GO_0016740>	"Reactome:R-HSA-8868783"
<http://purl.obolibrary.org/obo/GO_0016740>	"EC:2.-.-.-"
<http://purl.obolibrary.org/obo/GO_0016740>	"Reactome:R-HSA-5668414"
<http://purl.obolibrary.org/obo/GO_0016740>	"Reactome:R-HSA-1483186"
<http://purl.obolibrary.org/obo/GO_0016740>	"Reactome:R-HSA-1483089"
<http://purl.obolibrary.org/obo/PATO_0001241>	"snap:Quality"
<http://purl.obolibrary.org/obo/GO_0016301>	"Reactome:R-HSA-6788855"
<http://purl.obolibrary.org/obo/GO_0016301>	"Reactome:R-HSA-6788867"
<http://purl.obolibrary.org/obo/SYMP_0000567>	"UMLS_ICD9CM_2005_AUI:A0284119"
<http://purl.obolibrary.org/obo/SYMP_0000567>	"UMLS_CUI:C0159028"
<http://purl.obolibrary.org/obo/SYMP_0000567>	"ICD9CM_2005:780"
<http://purl.obolibrary.org/obo/SYMP_0000543>	"UMLS_ICD9CM_2005_AUI:A2797424"
<http://purl.obolibrary.org/obo/SYMP_0000543>	"UMLS_CUI:C0751295"
<http://purl.obolibrary.org/obo/SYMP_0000543>	"ICD9CM_2005:780.93"
<http://purl.obolibrary.org/obo/SYMP_0000482>	"UMLS_ICD9CM_2005_AUI:A0389211"
<http://purl.obolibrary.org/obo/SYMP_0000482>	"UMLS_CUI:C0234428"
<http://purl.obolibrary.org/obo/SYMP_0000482>	"ICD9CM_2005:780.0"
<http://purl.obolibrary.org/obo/SYMP_0000551>	"UMLS_ICD9CM_2005_AUI:A0243765"
<http://purl.obolibrary.org/obo/SYMP_0000551>	"UMLS_CUI:C0495689"
<http://purl.obolibrary.org/obo/SYMP_0000551>	"ICD9CM_2005:781.1"
<http://purl.obolibrary.org/obo/SYMP_0000604>	"UMLS_ICD9CM_2005_AUI:A0133941"
<http://purl.obolibrary.org/obo/SYMP_0000604>	"UMLS_CUI:C0043144"
<http://purl.obolibrary.org/obo/SYMP_0000604>	"ICD9CM_2005:786.07"
<http://purl.obolibrary.org/obo/SYMP_0000613>	"UMLS_ICD9CM_2005_AUI:A0058972"
<http://purl.obolibrary.org/obo/SYMP_0000613>	"ICD9CM_2005:780.6"
<http://purl.obolibrary.org/obo/SYMP_0000613>	"UMLS_CUI:C0015967"
<http://purl.obolibrary.org/obo/SYMP_0000537>	"UMLS_ICD9CM_2005_AUI:A0044296"
<http://purl.obolibrary.org/obo/SYMP_0000537>	"UMLS_CUI:C0010520"
<http://purl.obolibrary.org/obo/SYMP_0000537>	"ICD9CM_2005:782.5"
<http://purl.obolibrary.org/obo/SYMP_0000597>	"UMLS_ICD9CM_2005_AUI:A0284173"
<http://purl.obolibrary.org/obo/SYMP_0000597>	"UMLS_CUI:C0476247"
<http://purl.obolibrary.org/obo/SYMP_0000597>	"ICD9CM_2005:784"
<http://purl.obolibrary.org/obo/SYMP_0000487>	"UMLS_CUI:C0015230"
<http://purl.obolibrary.org/obo/SYMP_0000487>	"UMLS_ICD9CM_2005_AUI:A0243780"
<http://purl.obolibrary.org/obo/SYMP_0000487>	"ICD9CM_2005:782.1"
<http://purl.obolibrary.org/obo/SYMP_0000458>	"UMLS_ICD9CM_2005_AUI:A0750850"
<http://purl.obolibrary.org/obo/SYMP_0000458>	"UMLS_CUI:C0375548"
<http://purl.obolibrary.org/obo/SYMP_0000458>	"ICD9CM_2005:787.02"
<http://purl.obolibrary.org/obo/SYMP_0000473>	"UMLS_ICD9CM_2005_AUI:A0284163"
<http://purl.obolibrary.org/obo/SYMP_0000473>	"UMLS_CUI:C0159041"
